Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths_Rate,Recovered_Rate,Deaths / 100 Recovered,No. of countries,Recovery Rate,Fatality Rate
168260,6464,74139,87657,11146,641,3410,3.84,44.06,8.72,137,0.4406216569594675,0.03841673600380364
182919,7144,76192,99583,14659,680,2053,3.91,41.65,9.38,143,0.4165340943259038,0.039055538243703496
198757,7948,78944,111865,15838,804,2752,4.0,39.72,10.07,146,0.3971885266933995,0.03998852870590721
218343,8845,81427,128071,19586,897,2483,4.05,37.29,10.86,150,0.3729315801285134,0.04050965682435434
246261,9951,83064,153246,27918,1106,1637,4.04,33.73,11.98,154,0.33730066880261184,0.040408347241341507
275869,11429,85509,178931,29608,1478,2445,4.14,31.0,13.37,161,0.30996233719627797,0.04142908409426213
308175,13134,89775,205266,32306,1705,4266,4.26,29.13,14.63,163,0.29131175468483816,0.0426186420053541
341585,14831,95990,230764,33410,1697,6215,4.34,28.1,15.45,168,0.2810135105464233,0.04341818288273783
383750,16748,96456,270546,42165,1917,466,4.36,25.14,17.36,169,0.2513511400651466,0.04364299674267101
424889,19016,105997,299876,41154,2268,9541,4.48,24.95,17.94,171,0.24946986154030817,0.04475521842175251
475706,21793,111445,342468,50817,2777,5448,4.58,23.43,19.55,174,0.2342728491967728,0.045811909036253484
538666,24800,119804,394062,62960,3007,8359,4.6,22.24,20.7,175,0.22240869109986522,0.04603966094017443
603066,28318,128508,446240,64400,3518,8704,4.7,21.31,22.04,176,0.21309110445622867,0.04695671783851187
670723,31997,136800,501926,67657,3679,8292,4.77,20.4,23.39,176,0.20395901139516612,0.0477052374825375
730300,35470,146261,548569,59577,3473,9461,4.86,20.03,24.25,176,0.20027522935779815,0.04856908119950705
794939,39634,161707,593598,64639,4164,15446,4.99,20.34,24.51,177,0.20342063982267822,0.04985791362607697
871355,44478,174074,652803,76416,4844,12367,5.1,19.98,25.55,179,0.19977391533875402,0.05104463737512265
947569,50029,189434,708106,76214,5551,15360,5.28,19.99,26.41,179,0.19991578449696012,0.052797210546144925
1028968,56334,206052,766582,81399,6305,16618,5.47,20.03,27.34,180,0.20025112539942932,0.05474805824865302
1112123,62319,221060,828744,83155,5985,15008,5.6,19.88,28.19,180,0.1987729774494368,0.05603606795291528
1192586,68160,241072,883354,80463,5841,20012,5.72,20.21,28.27,180,0.20214223544465557,0.05715311097061344
1264304,73181,254477,936646,71718,5021,13405,5.79,20.13,28.76,182,0.20127833179361926,0.057882439666409345
1336976,79013,270812,987151,72672,5832,16335,5.91,20.26,29.18,183,0.20255561805148334,0.0590982934622611
1413849,86915,293665,1033269,76873,7902,22853,6.15,20.77,29.6,183,0.20770605630445685,0.06147403294128298
1497624,93650,322017,1081957,83775,6735,28352,6.25,21.5,29.08,183,0.21501858944568197,0.06253238463058819
1584249,101279,346349,1136621,86625,7629,24332,6.39,21.86,29.24,183,0.2186203052676694,0.06392871322626684
1671907,108551,367477,1195879,87658,7272,21128,6.49,21.98,29.54,184,0.21979512018312022,0.06492645823003312
1748872,114620,392991,1241261,76965,6069,25514,6.55,22.47,29.17,184,0.22471112808713273,0.06553938767388351
1845653,120351,411864,1313438,96802,5731,18873,6.52,22.32,29.22,184,0.22315353969570662,0.06520781533690244
1915247,126098,438395,1350754,69594,5747,26531,6.58,22.89,28.76,184,0.22889736937324534,0.06583902755101562
1985174,132996,463014,1389164,69927,6898,24619,6.7,23.32,28.72,184,0.2332359783071912,0.06699463120109371
2066003,141308,498925,1425770,80829,8312,35911,6.84,24.15,28.32,184,0.24149287295323385,0.06839680290880507
2162715,148591,529015,1485109,96712,7283,30090,6.87,24.46,28.09,184,0.24460689457464344,0.06870577029335811
2250439,157481,554287,1538671,87724,8890,25272,7.0,24.63,28.41,184,0.24630172157521266,0.06997790208932568
2324396,163952,577789,1582655,73958,6471,23502,7.05,24.86,28.38,184,0.24857597414554147,0.07053531325987482
2404919,168522,608557,1627840,80523,4570,30768,7.01,25.3,27.69,184,0.25304677621158966,0.07007387774806553
2478258,173965,629862,1674431,73339,5443,21305,7.02,25.42,27.62,184,0.2541551363901579,0.07019648478891222
2553508,181122,664043,1708343,75250,7157,34181,7.09,26.01,27.28,184,0.2600512706441491,0.07093065696289183
2630314,187877,693207,1749230,78994,6755,29164,7.14,26.35,27.1,184,0.2635453409744996,0.07142759381579537
2719327,194727,721689,1802911,89013,6850,28482,7.16,26.54,26.98,184,0.26539250336572245,0.07160852666854703
2806267,201401,771329,1833537,96974,6674,49640,7.18,27.49,26.11,184,0.2748594485129177,0.0717682957466271
2891199,206979,798239,1885981,84932,5578,26910,7.16,27.61,25.93,184,0.27609272139344265,0.07158933023980708
2964146,210862,825969,1927315,72948,3883,27730,7.11,27.87,25.53,184,0.27865327821234176,0.07113752156607671
3032850,215511,852382,1964957,68704,4649,26413,7.11,28.1,25.28,184,0.28104983761148755,0.07105890499035561
3108149,221974,884680,2001495,75404,6463,32298,7.14,28.46,25.09,184,0.28463242914030185,0.07141678214268364
3185195,228742,925752,2030701,79558,6768,41072,7.18,29.06,24.71,184,0.2906421741839982,0.0718141275494907
3268876,234704,989616,2044556,83681,5962,63864,7.18,30.27,23.72,186,0.30273892310384365,0.07179960328871453
3355922,239881,1026501,2089540,87046,5177,36885,7.15,30.59,23.37,186,0.30587749059721886,0.0714799092469968
3437608,245206,1066362,2126040,81853,5325,39861,7.13,31.02,22.99,186,0.3102046539337819,0.07133041347355487
3515244,248659,1097577,2169008,77636,3453,31215,7.07,31.22,22.66,186,0.31223351778710096,0.07073733715212942
3591321,252787,1130526,2208008,76078,4128,32949,7.04,31.48,22.36,186,0.31479391566501574,0.07038830558449105
3671310,258658,1166155,2246497,79989,5871,35629,7.05,31.76,22.18,186,0.31764002495022214,0.07045387068920902
3761332,265327,1210894,2285111,90022,6669,44739,7.05,32.19,21.91,186,0.3219322303907233,0.07054070207043675
3850418,270736,1249311,2330371,90669,5409,38417,7.03,32.45,21.67,186,0.3244611364272658,0.07031340493421753
3941935,276304,1284849,2380782,92997,5568,35538,7.01,32.59,21.5,186,0.32594373068049065,0.0700934946923275
4027781,280569,1337367,2409845,85846,4265,52518,6.97,33.2,20.98,186,0.33203567919904287,0.06965845461806389
4104027,284135,1370108,2449784,76255,3566,32741,6.92,33.38,20.74,186,0.3338447822102535,0.0692332189822338
4180268,287608,1416204,2476456,76298,3473,46096,6.88,33.88,20.31,186,0.33878306366960204,0.06880133044101479
4263867,293155,1452191,2518521,83619,5547,35987,6.88,34.06,20.19,186,0.3405807451311216,0.0687533171180058
4348619,298383,1506905,2543331,84917,5228,54714,6.86,34.65,19.8,187,0.3465249542440945,0.0686155765772996
4445724,303651,1545712,2596361,97106,5268,38807,6.83,34.77,19.64,187,0.3476851014592899,0.0683018109086394
4542073,308866,1592880,2640327,96349,5215,47168,6.8,35.07,19.39,187,0.3506944956631036,0.06800110874483964
4637485,313037,1648546,2675902,95412,4171,55666,6.75,35.55,18.99,187,0.355482767060163,0.0675014582257409
4715994,316366,1688699,2710929,78509,3329,40153,6.71,35.81,18.73,187,0.358079123934424,0.06708363072556921
4804278,319657,1740909,2743712,88284,3291,52210,6.65,36.24,18.36,187,0.3623664159318008,0.0665359082051455
4900702,324441,1792256,2784005,96633,4784,51347,6.62,36.57,18.1,187,0.365714136464531,0.06620296439163205
5003730,329326,1850441,2823963,103028,4885,58185,6.58,36.98,17.8,187,0.3698123200092731,0.06581610118851337
5110064,334112,1900768,2875184,106438,4786,50327,6.54,37.2,17.58,187,0.3719655957342217,0.06538313414469955
5216964,339396,2008541,2869027,106900,5284,107773,6.51,38.5,16.9,187,0.38500188998812335,0.06505622810508181
5322253,343385,2062802,2916066,105289,3989,54261,6.45,38.76,16.65,187,0.3875805979159578,0.06451872919231762
5417579,346525,2117555,2953499,95326,3140,54753,6.4,39.09,16.36,187,0.3908673966729419,0.06396307280429137
